bitstring,energy,compression,loss_penalty,pairwise_penalty,num_pruned_blocks,pruned_blocks
1100000100,-0.26490372822367836,0.3919314581933378,0.04041087770893179,0.0,3,stages.2.blocks.2; stages.3.blocks.2; stages.1.blocks.1
0110000100,-0.2605039024122948,0.3919314581933378,0.04481070352031532,0.0,3,stages.3.blocks.2; stages.2.blocks.0; stages.1.blocks.1
0101000100,-0.25933576101114064,0.3919314581933378,0.04597884492146953,0.0,3,stages.3.blocks.2; stages.2.blocks.5; stages.1.blocks.1
1100000110,-0.2589769825445935,0.3968872996064126,0.05019822384880191,0.0,4,stages.2.blocks.2; stages.3.blocks.2; stages.1.blocks.1; stages.0.blocks.2
1100000000,-0.2582935285467288,0.3728040702697514,0.032120842193407474,0.0,2,stages.2.blocks.2; stages.3.blocks.2
0100100100,-0.2576412913210137,0.3919314581933378,0.047673314611596435,0.0,3,stages.3.blocks.2; stages.2.blocks.3; stages.1.blocks.1
0110000110,-0.25457715673320996,0.3968872996064126,0.05459804966018543,0.0,4,stages.3.blocks.2; stages.2.blocks.0; stages.1.blocks.1; stages.0.blocks.2
0110000000,-0.2538937027353453,0.3728040702697514,0.03652066800479099,0.0,2,stages.3.blocks.2; stages.2.blocks.0
0101000110,-0.2534090153320558,0.3968872996064126,0.05576619106133965,0.0,4,stages.3.blocks.2; stages.2.blocks.5; stages.1.blocks.1; stages.0.blocks.2
0100010100,-0.2531701222347714,0.3919314581933378,0.052144483697838744,0.0,3,stages.3.blocks.2; stages.2.blocks.7; stages.1.blocks.1
0101000000,-0.2527255613341911,0.3728040702697514,0.03768880940594521,0.0,2,stages.3.blocks.2; stages.2.blocks.5
1100000010,-0.25236678286764397,0.37775991168282613,0.041908188333277585,0.0,3,stages.2.blocks.2; stages.3.blocks.2; stages.0.blocks.2
0100100110,-0.25171454564192886,0.3968872996064126,0.057460660751466545,0.0,4,stages.3.blocks.2; stages.2.blocks.3; stages.1.blocks.1; stages.0.blocks.2
0100100000,-0.2510310916440642,0.3728040702697514,0.03938327909607211,0.0,2,stages.3.blocks.2; stages.2.blocks.3
0110000010,-0.24796695705626043,0.37775991168282613,0.04630801414466111,0.0,3,stages.3.blocks.2; stages.2.blocks.0; stages.0.blocks.2
0100010110,-0.24724337655568657,0.3968872996064126,0.06193182983770886,0.0,4,stages.3.blocks.2; stages.2.blocks.7; stages.1.blocks.1; stages.0.blocks.2
0101000010,-0.24679881565510625,0.37775991168282613,0.04747615554581532,0.0,3,stages.3.blocks.2; stages.2.blocks.5; stages.0.blocks.2
0100010000,-0.2465599225578219,0.3728040702697514,0.043854448182314425,0.0,2,stages.3.blocks.2; stages.2.blocks.7
0100100010,-0.24510434596497932,0.37775991168282613,0.04917062523594223,0.0,3,stages.3.blocks.2; stages.2.blocks.3; stages.0.blocks.2
0100010010,-0.24063317687873703,0.37775991168282613,0.05364179432218454,0.0,3,stages.3.blocks.2; stages.2.blocks.7; stages.0.blocks.2
