qubit_index,candidate,stage_index,block_index,params,loss_penalty,compression_value,raw_loss_penalty,compression_base,compression_source,pruning_attractiveness
0,stages.2.blocks.2,2,2,1201920,0.004447270720503397,0.07511759623692042,0.004447270720503397,1201920.0,C_i_raw from CSV,270260138.2435499
1,stages.3.blocks.2,3,2,4763136,0.027673571472904075,0.29768647403283094,0.027673571472904075,4763136.0,C_i_raw from CSV,172118586.30143183
2,stages.2.blocks.0,2,0,1201920,0.008847096531886922,0.07511759623692042,0.008847096531886922,1201920.0,C_i_raw from CSV,135854740.08700547
3,stages.2.blocks.5,2,5,1201920,0.010015237933041134,0.07511759623692042,0.010015237933041134,1201920.0,C_i_raw from CSV,120009130.87793481
4,stages.2.blocks.3,2,3,1201920,0.011709707623168036,0.07511759623692042,0.011709707623168036,1201920.0,C_i_raw from CSV,102643041.02002677
5,stages.2.blocks.7,2,7,1201920,0.01618087670941035,0.07511759623692042,0.01618087670941035,1201920.0,C_i_raw from CSV,74280276.7433928
6,stages.3.blocks.0,3,0,4763136,0.10643334395192461,0.29768647403283094,0.10643334395192461,4763136.0,C_i_raw from CSV,44752291.18148098
7,stages.1.blocks.1,1,1,306048,0.00829003551552432,0.019127387923586446,0.00829003551552432,306048.0,C_i_raw from CSV,36917574.042953394
8,stages.0.blocks.2,0,2,79296,0.009787346139870116,0.004955841413074782,0.009787346139870116,79296.0,C_i_raw from CSV,8101889.813508773
9,stages.0.blocks.0,0,0,79296,1.0,0.004955841413074782,1.0,79296.0,C_i_raw from CSV,79295.99999992069
